==== BIONIC FLAPPING WING UAV SIMULATOR ====
Initializing Modular Simulator Loop...
Time: 0.00s | Body Z Pos: 0.0000 | Body Z Vel: 0.0033
Time: 0.01s | Body Z Pos: 0.0018 | Body Z Vel: 0.3631
Time: 0.02s | Body Z Pos: 0.0075 | Body Z Vel: 0.7701
Time: 0.03s | Body Z Pos: 0.0174 | Body Z Vel: 1.2069
Time: 0.04s | Body Z Pos: 0.0317 | Body Z Vel: 1.6484
Time: 0.05s | Body Z Pos: 0.0503 | Body Z Vel: 2.0657
Time: 0.06s | Body Z Pos: 0.0728 | Body Z Vel: 2.4318
Time: 0.07s | Body Z Pos: 0.0987 | Body Z Vel: 2.7256
Time: 0.08s | Body Z Pos: 0.1271 | Body Z Vel: 2.9342
Time: 0.09s | Body Z Pos: 0.1571 | Body Z Vel: 3.0527
Time: 0.10s | Body Z Pos: 0.1879 | Body Z Vel: 3.0819
Time: 0.11s | Body Z Pos: 0.2185 | Body Z Vel: 3.0265
Time: 0.12s | Body Z Pos: 0.2481 | Body Z Vel: 2.8921
Time: 0.13s | Body Z Pos: 0.2760 | Body Z Vel: 2.6797
Time: 0.14s | Body Z Pos: 0.3014 | Body Z Vel: 2.3847
Time: 0.15s | Body Z Pos: 0.3234 | Body Z Vel: 2.0168
Time: 0.16s | Body Z Pos: 0.3415 | Body Z Vel: 1.5839
Time: 0.17s | Body Z Pos: 0.3549 | Body Z Vel: 1.0859
Time: 0.18s | Body Z Pos: 0.3629 | Body Z Vel: 0.5205
Time: 0.19s | Body Z Pos: 0.3650 | Body Z Vel: -0.1130
Time: 0.20s | Body Z Pos: 0.3604 | Body Z Vel: -0.8016
Time: 0.21s | Body Z Pos: 0.3486 | Body Z Vel: -1.5562
Time: 0.22s | Body Z Pos: 0.3288 | Body Z Vel: -2.4163
Time: 0.23s | Body Z Pos: 0.2997 | Body Z Vel: -3.4390
Time: 0.24s | Body Z Pos: 0.2592 | Body Z Vel: -4.6745
Time: 0.25s | Body Z Pos: 0.2052 | Body Z Vel: -6.1385
Time: 0.26s | Body Z Pos: 0.1363 | Body Z Vel: -7.6385
Time: 0.27s | Body Z Pos: 0.0523 | Body Z Vel: -9.1385
Time: 0.28s | Body Z Pos: -0.0466 | Body Z Vel: -10.6291
Time: 0.29s | Body Z Pos: -0.1596 | Body Z Vel: -11.8820
Time: 0.30s | Body Z Pos: -0.2829 | Body Z Vel: -12.6824
Time: 0.31s | Body Z Pos: -0.4113 | Body Z Vel: -12.8843
Time: 0.32s | Body Z Pos: -0.5381 | Body Z Vel: -12.3658
Time: 0.33s | Body Z Pos: -0.6558 | Body Z Vel: -11.0706
Time: 0.34s | Body Z Pos: -0.7589 | Body Z Vel: -9.5706
Time: 0.35s | Body Z Pos: -0.8471 | Body Z Vel: -8.0706
Time: 0.36s | Body Z Pos: -0.9202 | Body Z Vel: -6.5706
Time: 0.37s | Body Z Pos: -0.9783 | Body Z Vel: -5.0706
Time: 0.38s | Body Z Pos: -1.0215 | Body Z Vel: -3.5706
Time: 0.39s | Body Z Pos: -1.0496 | Body Z Vel: -2.0706
Time: 0.40s | Body Z Pos: -1.0627 | Body Z Vel: -0.5706
Time: 0.41s | Body Z Pos: -1.0609 | Body Z Vel: 0.9294
Time: 0.42s | Body Z Pos: -1.0440 | Body Z Vel: 2.4294
Time: 0.43s | Body Z Pos: -1.0121 | Body Z Vel: 3.9294
Time: 0.44s | Body Z Pos: -0.9652 | Body Z Vel: 5.4294
Time: 0.45s | Body Z Pos: -0.9034 | Body Z Vel: 6.9294
Time: 0.46s | Body Z Pos: -0.8265 | Body Z Vel: 8.4294
Time: 0.47s | Body Z Pos: -0.7346 | Body Z Vel: 9.9294
Time: 0.48s | Body Z Pos: -0.6278 | Body Z Vel: 11.4294
Time: 0.49s | Body Z Pos: -0.5059 | Body Z Vel: 12.9294
Time: 0.50s | Body Z Pos: -0.3690 | Body Z Vel: 14.4294
Time: 0.51s | Body Z Pos: -0.2172 | Body Z Vel: 15.9294
Time: 0.52s | Body Z Pos: -0.0503 | Body Z Vel: 17.4294
Time: 0.53s | Body Z Pos: 0.1316 | Body Z Vel: 18.9290
Time: 0.54s | Body Z Pos: 0.3247 | Body Z Vel: 19.3264
Time: 0.55s | Body Z Pos: 0.5123 | Body Z Vel: 18.0696
Time: 0.56s | Body Z Pos: 0.6854 | Body Z Vel: 16.5696
Time: 0.57s | Body Z Pos: 0.8436 | Body Z Vel: 15.0696
Time: 0.58s | Body Z Pos: 0.9867 | Body Z Vel: 13.5696
Time: 0.59s | Body Z Pos: 1.1148 | Body Z Vel: 12.0696
Time: 0.60s | Body Z Pos: 1.2279 | Body Z Vel: 10.5696
Time: 0.61s | Body Z Pos: 1.3260 | Body Z Vel: 9.0696
Time: 0.62s | Body Z Pos: 1.4092 | Body Z Vel: 7.5696
Time: 0.63s | Body Z Pos: 1.4773 | Body Z Vel: 6.0696
Time: 0.64s | Body Z Pos: 1.5304 | Body Z Vel: 4.5696
Time: 0.65s | Body Z Pos: 1.5685 | Body Z Vel: 3.0696
Time: 0.66s | Body Z Pos: 1.5917 | Body Z Vel: 1.5696
Time: 0.67s | Body Z Pos: 1.5998 | Body Z Vel: 0.0696
Time: 0.68s | Body Z Pos: 1.5929 | Body Z Vel: -1.4304
Time: 0.69s | Body Z Pos: 1.5710 | Body Z Vel: -2.9304
Time: 0.70s | Body Z Pos: 1.5341 | Body Z Vel: -4.4304
Time: 0.71s | Body Z Pos: 1.4823 | Body Z Vel: -5.9304
Time: 0.72s | Body Z Pos: 1.4154 | Body Z Vel: -7.4304
Time: 0.73s | Body Z Pos: 1.3335 | Body Z Vel: -8.9304
Time: 0.74s | Body Z Pos: 1.2366 | Body Z Vel: -10.4304
Time: 0.75s | Body Z Pos: 1.1247 | Body Z Vel: -11.9304
Time: 0.76s | Body Z Pos: 0.9979 | Body Z Vel: -13.4304
Time: 0.77s | Body Z Pos: 0.8560 | Body Z Vel: -14.9304
Time: 0.78s | Body Z Pos: 0.6991 | Body Z Vel: -16.4304
Time: 0.79s | Body Z Pos: 0.5272 | Body Z Vel: -17.9304
Time: 0.80s | Body Z Pos: 0.3404 | Body Z Vel: -19.4304
Time: 0.81s | Body Z Pos: 0.1385 | Body Z Vel: -20.9304
Time: 0.82s | Body Z Pos: -0.0784 | Body Z Vel: -22.4304
Time: 0.83s | Body Z Pos: -0.3103 | Body Z Vel: -23.9304
Time: 0.84s | Body Z Pos: -0.5572 | Body Z Vel: -25.4304
Time: 0.85s | Body Z Pos: -0.8190 | Body Z Vel: -26.9304
Time: 0.86s | Body Z Pos: -1.0959 | Body Z Vel: -28.4304
Time: 0.87s | Body Z Pos: -1.3878 | Body Z Vel: -29.9304
Time: 0.88s | Body Z Pos: -1.6947 | Body Z Vel: -31.4304
Time: 0.89s | Body Z Pos: -2.0166 | Body Z Vel: -32.9304
Time: 0.90s | Body Z Pos: -2.3534 | Body Z Vel: -34.4304
Time: 0.91s | Body Z Pos: -2.7053 | Body Z Vel: -35.9304
Time: 0.92s | Body Z Pos: -3.0722 | Body Z Vel: -37.4304
Time: 0.93s | Body Z Pos: -3.4541 | Body Z Vel: -38.9304
Time: 0.94s | Body Z Pos: -3.8509 | Body Z Vel: -40.4304
Time: 0.95s | Body Z Pos: -4.2628 | Body Z Vel: -41.9304
Time: 0.96s | Body Z Pos: -4.6897 | Body Z Vel: -43.4304
Time: 0.97s | Body Z Pos: -5.1316 | Body Z Vel: -44.9304
Time: 0.98s | Body Z Pos: -5.5885 | Body Z Vel: -46.4304
Time: 0.99s | Body Z Pos: -6.0603 | Body Z Vel: -47.9304
Time: 1.00s | Body Z Pos: -6.5470 | Body Z Vel: -49.1479
Time: 1.01s | Body Z Pos: -7.0310 | Body Z Vel: -47.6617
Time: 1.02s | Body Z Pos: -7.5001 | Body Z Vel: -46.1617
Time: 1.03s | Body Z Pos: -7.9541 | Body Z Vel: -44.6617
Time: 1.04s | Body Z Pos: -8.3931 | Body Z Vel: -43.1617
Time: 1.05s | Body Z Pos: -8.8172 | Body Z Vel: -41.6617
Time: 1.06s | Body Z Pos: -9.2262 | Body Z Vel: -40.1617
Time: 1.07s | Body Z Pos: -9.6203 | Body Z Vel: -38.6617
Time: 1.08s | Body Z Pos: -9.9993 | Body Z Vel: -37.1617
Time: 1.09s | Body Z Pos: -10.3634 | Body Z Vel: -35.6617
Time: 1.10s | Body Z Pos: -10.7124 | Body Z Vel: -34.1617
Time: 1.11s | Body Z Pos: -11.0464 | Body Z Vel: -32.6617
Time: 1.12s | Body Z Pos: -11.3655 | Body Z Vel: -31.1617
Time: 1.13s | Body Z Pos: -11.6695 | Body Z Vel: -29.6617
