==== BIONIC FLAPPING WING UAV SIMULATOR ====
Initializing Modular Simulator Loop...
Time: 0.00s | Body Z Pos: 0.0000 | Body Z Vel: 0.0033
Time: 0.01s | Body Z Pos: 0.0018 | Body Z Vel: 0.3631
Time: 0.02s | Body Z Pos: 0.0075 | Body Z Vel: 0.7701
Time: 0.03s | Body Z Pos: 0.0174 | Body Z Vel: 1.2069
Time: 0.04s | Body Z Pos: 0.0317 | Body Z Vel: 1.6484
Time: 0.05s | Body Z Pos: 0.0503 | Body Z Vel: 2.0657
Time: 0.06s | Body Z Pos: 0.0728 | Body Z Vel: 2.4318
Time: 0.07s | Body Z Pos: 0.0987 | Body Z Vel: 2.7256
Time: 0.08s | Body Z Pos: 0.1271 | Body Z Vel: 2.9342
Time: 0.09s | Body Z Pos: 0.1571 | Body Z Vel: 3.0527
Time: 0.10s | Body Z Pos: 0.1879 | Body Z Vel: 3.0819
Time: 0.11s | Body Z Pos: 0.2185 | Body Z Vel: 3.0265
Time: 0.12s | Body Z Pos: 0.2481 | Body Z Vel: 2.8921
Time: 0.13s | Body Z Pos: 0.2760 | Body Z Vel: 2.6820
Time: 0.14s | Body Z Pos: 0.3014 | Body Z Vel: 2.3890
Time: 0.15s | Body Z Pos: 0.3235 | Body Z Vel: 2.0126
Time: 0.16s | Body Z Pos: 0.3413 | Body Z Vel: 1.5373
Time: 0.17s | Body Z Pos: 0.3537 | Body Z Vel: 0.9231
Time: 0.18s | Body Z Pos: 0.3591 | Body Z Vel: 0.1108
Time: 0.19s | Body Z Pos: 0.3550 | Body Z Vel: -0.9549
Time: 0.20s | Body Z Pos: 0.3388 | Body Z Vel: -2.3366
Time: 0.21s | Body Z Pos: 0.3078 | Body Z Vel: -3.8366
Time: 0.22s | Body Z Pos: 0.2619 | Body Z Vel: -5.3366
Time: 0.23s | Body Z Pos: 0.2009 | Body Z Vel: -6.8366
Time: 0.24s | Body Z Pos: 0.1250 | Body Z Vel: -8.3366
Time: 0.25s | Body Z Pos: 0.0341 | Body Z Vel: -9.8366
Time: 0.26s | Body Z Pos: -0.0719 | Body Z Vel: -11.3366
Time: 0.27s | Body Z Pos: -0.1928 | Body Z Vel: -12.8366
Time: 0.28s | Body Z Pos: -0.3288 | Body Z Vel: -14.3366
Time: 0.29s | Body Z Pos: -0.4797 | Body Z Vel: -15.8366
Time: 0.30s | Body Z Pos: -0.6456 | Body Z Vel: -17.3366
Time: 0.31s | Body Z Pos: -0.8266 | Body Z Vel: -18.8366
Time: 0.32s | Body Z Pos: -1.0225 | Body Z Vel: -20.3366
Time: 0.33s | Body Z Pos: -1.2335 | Body Z Vel: -21.8245
Time: 0.34s | Body Z Pos: -1.4574 | Body Z Vel: -22.8162
Time: 0.35s | Body Z Pos: -1.6870 | Body Z Vel: -22.9674
Time: 0.36s | Body Z Pos: -1.9136 | Body Z Vel: -22.1810
Time: 0.37s | Body Z Pos: -2.1280 | Body Z Vel: -20.7037
Time: 0.38s | Body Z Pos: -2.3275 | Body Z Vel: -19.2037
Time: 0.39s | Body Z Pos: -2.5119 | Body Z Vel: -17.7037
Time: 0.40s | Body Z Pos: -2.6814 | Body Z Vel: -16.2037
Time: 0.41s | Body Z Pos: -2.8358 | Body Z Vel: -14.7037
Time: 0.42s | Body Z Pos: -2.9753 | Body Z Vel: -13.2037
Time: 0.43s | Body Z Pos: -3.0998 | Body Z Vel: -11.7037
Time: 0.44s | Body Z Pos: -3.2092 | Body Z Vel: -10.2037
Time: 0.45s | Body Z Pos: -3.3037 | Body Z Vel: -8.7037
Time: 0.46s | Body Z Pos: -3.3832 | Body Z Vel: -7.2037
Time: 0.47s | Body Z Pos: -3.4476 | Body Z Vel: -5.7037
Time: 0.48s | Body Z Pos: -3.4971 | Body Z Vel: -4.2037
Time: 0.49s | Body Z Pos: -3.5315 | Body Z Vel: -2.7037
Time: 0.50s | Body Z Pos: -3.5510 | Body Z Vel: -1.2037
Time: 0.51s | Body Z Pos: -3.5555 | Body Z Vel: 0.2963
Time: 0.52s | Body Z Pos: -3.5449 | Body Z Vel: 1.7963
Time: 0.53s | Body Z Pos: -3.5194 | Body Z Vel: 3.2963
Time: 0.54s | Body Z Pos: -3.4789 | Body Z Vel: 4.7963
Time: 0.55s | Body Z Pos: -3.4233 | Body Z Vel: 6.2963
Time: 0.56s | Body Z Pos: -3.3528 | Body Z Vel: 7.7963
Time: 0.57s | Body Z Pos: -3.2672 | Body Z Vel: 9.2963
Time: 0.58s | Body Z Pos: -3.1667 | Body Z Vel: 10.7963
Time: 0.59s | Body Z Pos: -3.0512 | Body Z Vel: 12.2963
Time: 0.60s | Body Z Pos: -2.9206 | Body Z Vel: 13.7963
Time: 0.61s | Body Z Pos: -2.7751 | Body Z Vel: 15.2963
Time: 0.62s | Body Z Pos: -2.6145 | Body Z Vel: 16.7963
Time: 0.63s | Body Z Pos: -2.4390 | Body Z Vel: 18.2963
Time: 0.64s | Body Z Pos: -2.2485 | Body Z Vel: 19.7963
Time: 0.65s | Body Z Pos: -2.0429 | Body Z Vel: 21.2835
Time: 0.66s | Body Z Pos: -1.8282 | Body Z Vel: 21.2124
Time: 0.67s | Body Z Pos: -1.6236 | Body Z Vel: 19.7124
Time: 0.68s | Body Z Pos: -1.4341 | Body Z Vel: 18.2124
Time: 0.69s | Body Z Pos: -1.2595 | Body Z Vel: 16.7124
Time: 0.70s | Body Z Pos: -1.1000 | Body Z Vel: 15.2124
Time: 0.71s | Body Z Pos: -0.9554 | Body Z Vel: 13.7124
Time: 0.72s | Body Z Pos: -0.8259 | Body Z Vel: 12.2124
Time: 0.73s | Body Z Pos: -0.7113 | Body Z Vel: 10.7124
Time: 0.74s | Body Z Pos: -0.6118 | Body Z Vel: 9.2124
Time: 0.75s | Body Z Pos: -0.5272 | Body Z Vel: 7.7124
Time: 0.76s | Body Z Pos: -0.4577 | Body Z Vel: 6.2124
Time: 0.77s | Body Z Pos: -0.4031 | Body Z Vel: 4.7124
Time: 0.78s | Body Z Pos: -0.3636 | Body Z Vel: 3.2124
Time: 0.79s | Body Z Pos: -0.3390 | Body Z Vel: 1.7124
Time: 0.80s | Body Z Pos: -0.3295 | Body Z Vel: 0.2124
Time: 0.81s | Body Z Pos: -0.3349 | Body Z Vel: -1.2876
Time: 0.82s | Body Z Pos: -0.3554 | Body Z Vel: -2.7876
Time: 0.83s | Body Z Pos: -0.3908 | Body Z Vel: -4.2876
Time: 0.84s | Body Z Pos: -0.4413 | Body Z Vel: -5.7876
Time: 0.85s | Body Z Pos: -0.5067 | Body Z Vel: -7.2876
Time: 0.86s | Body Z Pos: -0.5872 | Body Z Vel: -8.7876
Time: 0.87s | Body Z Pos: -0.6826 | Body Z Vel: -10.2876
Time: 0.88s | Body Z Pos: -0.7931 | Body Z Vel: -11.7876
Time: 0.89s | Body Z Pos: -0.9185 | Body Z Vel: -13.2876
Time: 0.90s | Body Z Pos: -1.0590 | Body Z Vel: -14.7876
Time: 0.91s | Body Z Pos: -1.2144 | Body Z Vel: -16.2876
Time: 0.92s | Body Z Pos: -1.3849 | Body Z Vel: -17.7876
Time: 0.93s | Body Z Pos: -1.5703 | Body Z Vel: -19.2876
Time: 0.94s | Body Z Pos: -1.7708 | Body Z Vel: -20.7876
Time: 0.95s | Body Z Pos: -1.9862 | Body Z Vel: -22.2876
Time: 0.96s | Body Z Pos: -2.2167 | Body Z Vel: -23.7876
Time: 0.97s | Body Z Pos: -2.4622 | Body Z Vel: -25.2876
Time: 0.98s | Body Z Pos: -2.7226 | Body Z Vel: -26.7876
Time: 0.99s | Body Z Pos: -2.9981 | Body Z Vel: -28.2876
Time: 1.00s | Body Z Pos: -3.2885 | Body Z Vel: -29.7876
Time: 1.01s | Body Z Pos: -3.5940 | Body Z Vel: -31.2876
Time: 1.02s | Body Z Pos: -3.9144 | Body Z Vel: -32.7876
Time: 1.03s | Body Z Pos: -4.2499 | Body Z Vel: -34.2876
Time: 1.04s | Body Z Pos: -4.6003 | Body Z Vel: -35.7876
Time: 1.05s | Body Z Pos: -4.9658 | Body Z Vel: -37.2876
Time: 1.06s | Body Z Pos: -5.3462 | Body Z Vel: -38.7876
Time: 1.07s | Body Z Pos: -5.7417 | Body Z Vel: -40.2876
Time: 1.08s | Body Z Pos: -6.1521 | Body Z Vel: -41.7876
Time: 1.09s | Body Z Pos: -6.5776 | Body Z Vel: -43.2876
Time: 1.10s | Body Z Pos: -7.0180 | Body Z Vel: -44.7876
Time: 1.11s | Body Z Pos: -7.4735 | Body Z Vel: -46.2876
Time: 1.12s | Body Z Pos: -7.9439 | Body Z Vel: -47.7876
Time: 1.13s | Body Z Pos: -8.4294 | Body Z Vel: -49.2876
