time, flap_rate, strip0_vz, strip0_airspeed_z, strip0_Fz, body_pitch
0.000, 26.32, 0.9212, -0.9212, -0.0025, 0.0000
0.025, 21.29, 1.2235, -1.2235, 0.1166, -0.0000
0.050, 8.13, 1.3745, -1.3745, 0.1902, -0.0000
0.075, -8.13, 1.6161, -1.6161, 0.1472, -0.0000
0.100, -21.29, 3.6195, -3.6195, -0.1270, -0.0000
0.125, -26.32, 5.3878, -5.3878, -0.5677, -0.0000
0.150, -21.29, 3.4547, -3.4547, -0.4098, -0.0001
0.175, -8.13, 1.3272, -1.3272, -0.2837, -0.0002
0.200, 8.13, 0.6773, -0.6773, -0.2029, -0.0002
0.225, 21.29, -0.3217, 0.3217, -0.1178, -0.0002
0.250, 26.32, -1.6287, 1.6287, 0.0175, -0.0002
0.275, 21.29, -1.1166, 1.1166, 0.1318, -0.0001
0.300, 8.13, -0.4482, 0.4482, 0.1996, 0.0000
0.325, -8.13, -0.5230, 0.5230, 0.2193, 0.0002
0.350, -21.29, 0.2627, -0.2627, 0.1104, 0.0004
0.375, -26.32, 1.5225, -1.5225, -0.0626, 0.0006
0.400, -21.29, 0.8991, -0.8991, -0.1388, 0.0009
0.425, -8.13, 0.2168, -0.2168, -0.1981, 0.0013
0.450, 8.13, 0.1151, -0.1151, -0.1963, 0.0017
0.475, 21.29, -0.4785, 0.4785, -0.1182, 0.0022
